validator,description
Email,Validates an email address
EqualTo,Compares the values of two fields; useful when requesting a password to be entered twice for confirmation
IPAddress,Validates either an IPv4 or an IPv6 network address
Length,Validates the length of the string entered
NumberRange,"Validates that the value entered is within a given range, min to max"
Optional,"Allows empty input on the field, skipping additional validators"
Required,Validates that the field contains data
Regexp,Validates the input against a regular expression
URL,Validates a URL
AnyOf,Validates that the input is one of a list of possible values
NoneOf,Validates that the input is none of a list of possible values
DataRequired,Checks that the data attribute on the field is a True value
InputRequired,Validates that input was provided for this field
MacAddress,Validates a MAC address
UUID,Validates a UUID
