Presidency,President,Wikipedia-entry,Took-office,Left-office,Party,Home-state,Occupation,College,Age-when-took-office,Birth-date,Birthplace,Death-date,Location-death,Image
1,George Washington,http://en.wikipedia.org/wiki/George_Washington,4/30/1789,3/4/1797,Independent,Virginia,Planter,None,57,2/22/1732,"Westmoreland County, Virginia",12/14/1799,"Mount Vernon, Virginia",pr01.jpg
2,John Adams,http://en.wikipedia.org/wiki/John_Adams,3/4/1797,3/4/1801,Federalist,Massachusetts,Lawyer,Harvard,61,10/30/1735,"Quincy, Massachusetts",7/4/1826,"Quincy, Massachusetts",pr02.jpg
3,Thomas Jefferson,http://en.wikipedia.org/wiki/Thomas_Jefferson,3/4/1801,3/4/1809,Democratic-Republican,Virginia,"Planter, Lawyer",William and Mary,57,4/13/1743,"Albemarle County, Virginia",7/4/1826,"Albemarle County, Virginia",pr03.jpg
4,James Madison,http://en.wikipedia.org/wiki/James_Madison,3/4/1809,3/4/1817,Democratic-Republican,Virginia,Lawyer,Princeton,57,3/16/1751,"Port Conway, Virginia",6/28/1836,"Orange County, Virginia",pr04.jpg
5,James Monroe,http://en.wikipedia.org/wiki/James_Monroe,3/4/1817,3/4/1825,Democratic-Republican,Virginia,Lawyer,William and Mary,58,4/28/1758,"Westmoreland County, Virginia",7/4/1831,"New York, New York",pr05.jpg
6,John Quincy Adams,http://en.wikipedia.org/wiki/John_Quincy_Adams,3/4/1825,3/4/1829,Democratic-Republican/National Republican,Massachusetts,Lawyer,Harvard,57,7/11/1767,"Quincy, Massachusetts",2/23/1848,"Washington, D.C.",pr06.jpg
7,Andrew Jackson,http://en.wikipedia.org/wiki/Andrew_Jackson,3/4/1829,3/4/1837,Democratic,Tennessee,Lawyer,None,61,3/15/1767,"Waxhaws, North Carolina",6/8/1845,"Nashville, Tennessee",pr07.jpg
8,Martin Van Buren,http://en.wikipedia.org/wiki/Martin_Van_Buren,3/4/1837,3/4/1841,Democratic,New York,Lawyer,None,54,12/5/1782,"Kinderhook, New York",7/24/1862,"Kinderhook, New York",pr08.jpg
9,William Henry Harrison,http://en.wikipedia.org/wiki/William_Henry_Harrison,3/4/1841,4/4/1841,Whig,Ohio,Soldier,Hampden-Sydney,68,2/9/1773,"Charles City County, Virginia",4/4/1841,"Washington, D.C.",pr09.jpg
10,John Tyler,http://en.wikipedia.org/wiki/John_Tyler,4/4/1841,3/4/1845,Whig,Virginia,Lawyer,William and Mary,51,3/29/1790,"Charles City County, Virginia",1/18/1862,"Richmond, Virginia",pr10.jpg
11,James K. Polk,http://en.wikipedia.org/wiki/James_K._Polk,3/4/1845,3/4/1849,Democratic,Tennessee,Lawyer,University of North Carolina,49,11/2/1795,"Mecklenburg County, North Carolina",6/15/1849,"Nashville, Tennessee",pr11.jpg
