year,rank,title,gross
2019,1,Avengers: Endgame,858373000
2019,2,The Lion King,543638043
2019,3,Toy Story 4,434038008
2019,4,Frozen II,470089732
2019,5,Captain Marvel,426829839
2018,1,Black Panther,700059566
2018,2,Avengers: Infinity War,678815482
2018,3,Incredibles 2,608581744
2018,4,Jurassic World: Fallen Kingdom,417719760
2018,5,Deadpool 2,318491426
2017,1,Star Wars: Episode VIII - The Last Jedi,620181382
2017,2,Beauty and the Beast,504014165
2017,3,Wonder Woman,412563408
2017,4,Guardians of the Galaxy Vol. 2,389813101
2017,5,Spider-Man: Homecoming,334201140
2016,1,Finding Dory,486295561
2016,2,Rogue One: A Star Wars Story,532177324
2016,3,Captain America: Civil War,408084349
2016,4,The Secret Life of Pets,368384330
2016,5,The Jungle Book,364001123
2015,1,Jurassic World,652270625
2015,2,Star Wars: Episode VII - The Force Awakens,936662225
2015,3,Avengers: Age of Ultron,459005868
2015,4,Inside Out,356461711
2015,5,Furious 7,353007020
2014,1,Guardians of the Galaxy,333176600
2014,2,The Hunger Games: Mockingjay - Part 1,337135885
2014,3,Captain America: The Winter Soldier,259766572
2014,4,The Lego Movie,257760692
2014,5,Transformers: Age of Extinction,245439076
2013,1,Iron Man 3,409013994
2013,2,The Hunger Games: Catching Fire,424668047
2013,3,Despicable Me 2,368065385
2013,4,Man of Steel,291045518
2013,5,Monsters University,268492764
2012,1,The Avengers,623357910
2012,2,The Dark Knight Rises,448139099
2012,3,The Hunger Games,408010692
2012,4,Skyfall,304360277
2012,5,The Twilight Saga: Breaking Dawn - Part 2,292324737
2011,1,Harry Potter and the Deathly Hallows: Part 2,381011219
2011,2,Transformers: Dark of the Moon,352390543
2011,3,The Twilight Saga: Breaking Dawn - Part 1,281287133
2011,4,The Hangover Part II,254464305
2011,5,Pirates of the Caribbean: On Stranger Tides,241071802
2010,1,Avatar,749766139
2010,2,Toy Story 3,415004880
2010,3,Alice in Wonderland,334191110
2010,4,Iron Man 2,312433331
2010,5,The Twilight Saga: Eclipse,300531751
